Actor,Movie_Count,Avg_IMDb_Rating
Godfrey Tearle,1,7.6
Golshifteh Farahani,1,8.0
Gong Li,2,8.1
Gore Vidal,1,7.8
Gorô Naya,1,8.1
Goya Toledo,1,8.1
Grace Kelly,3,8.166666666666666
Graciela Tenenbaum,1,7.9
Gracy Singh,2,8.1
Graham Chapman,2,8.149999999999999
Graham Greene,2,7.8
Graham Norton,1,8.1
Greg Cruttwell,1,7.8
Greg Grunberg,1,7.6
Greg Kinnear,2,7.75
Gregory Peck,3,7.966666666666666
Greta Schröder,1,7.9
Griffin Dunne,1,7.7
Grigoriy Aleksandrov,1,8.0
Groucho Marx,2,7.85
Guillaume Canet,2,7.65
Gunnar Björnstrand,3,8.166666666666666
Gunnel Lindblom,1,8.1
Gustaf Skarsgård,1,7.8
Gustav Fröhlich,1,8.3
Gustav von Wangenheim,1,7.9
Guy Decomble,1,8.1
Guy Pearce,3,8.133333333333333
Guylaine Schlumberger,1,8.0
Gwen Eckhaus,1,7.7
Gwilym Lee,1,8.0
Gwyneth Paltrow,2,7.75
Gérard Jugnot,1,7.9
Günes Sensoy,1,7.6
Güven Kiraç,1,7.9
Haaz Sleiman,1,7.6
Hailee Steinfeld,1,7.6
Haing S. Ngor,1,7.8
Haley Joel Osment,1,8.1
Halina Gryglaszewska,1,7.8
